city_name
"New Delhi, India 
(DEL)
Indira Gandhi International Airport
IN"
"Leon/Guanajuato, Mexico 
(BJX)
Del Bajio
MX"
"Fuerteventura, Spain 
(FUE)
Fuerteventura/Puerto del Rosario
ES"
"Mar del Plata, Argentina 
(MDQ)
Mar Del Plata
AR"
"Porlamar, Venezuela 
(PMV)
DelCaribe Marino
VE"
"Del Rio, United States 
(DRT)
Del Rio Intl
US"
"Punta del Este, Uruguay 
(PDP)
Punta Del Este
UY"
"Ciudad Del Carmen, Mexico 
(CME)
Ciudad Del Carmen
MX"
"Santiago del Estero, Argentina 
(SDE)
Santiago Del Estero
AR"
"Ciudad Del Este, Paraguay 
(AGT)
Alejo Garcia
PY"
